15 a 17 - Taxa de Mortalidade por Neoplasias 
Tx Mort Total Neoplasias por Município e Ano
Período:2018
"Município";"2018";"Total"
"350010 Adamantina";185,91;185,91
"350020 Adolfo";144,13;144,13
"350030 Aguaí";117,41;117,41
"350040 Águas da Prata";193,35;193,35
"350050 Águas de Lindóia";176,18;176,18
"350055 Águas de Santa Bárbara";170,50;170,50
"350060 Águas de São Pedro";262,90;262,90
"350070 Agudos";145,14;145,14
"350075 Alambari";53,57;53,57
"350080 Alfredo Marcondes";127,45;127,45
"350090 Altair";125,19;125,19
"350100 Altinópolis";122,13;122,13
"350110 Alto Alegre";173,40;173,40
"350115 Alumínio";129,60;129,60
"350120 Álvares Florence";245,03;245,03
"350130 Álvares Machado";160,24;160,24
"350140 Álvaro de Carvalho";80,61;80,61
"350150 Alvinlândia";95,48;95,48
"350160 Americana";112,96;112,96
"350170 Américo Brasiliense";79,24;79,24
"350180 Américo de Campos";191,84;191,84
"350190 Amparo";187,11;187,11
"350200 Analândia";105,35;105,35
"350210 Andradina";155,52;155,52
"350220 Angatuba";87,36;87,36
"350230 Anhembi";231,95;231,95
"350240 Anhumas";25,52;25,52
"350250 Aparecida";163,06;163,06
"350260 Aparecida d'Oeste";143,13;143,13
"350270 Apiaí";101,29;101,29
"350275 Araçariguama";113,73;113,73
"350280 Araçatuba";135,00;135,00
"350290 Araçoiaba da Serra";127,50;127,50
"350300 Aramina";184,06;184,06
"350310 Arandu";113,75;113,75
"350315 Arapeí";0,00;0,00
"350320 Araraquara";155,09;155,09
"350330 Araras";153,87;153,87
"350335 Arco-Íris";272,93;272,93
"350340 Arealva";196,87;196,87
"350350 Areias";105,07;105,07
"350360 Areiópolis";101,97;101,97
"350370 Ariranha";130,85;130,85
"350380 Artur Nogueira";52,85;52,85
"350390 Arujá";124,50;124,50
"350395 Aspásia";112,74;112,74
"350400 Assis";113,79;113,79
"350410 Atibaia";154,62;154,62
"350420 Auriflama";110,89;110,89
"350430 Avaí";134,02;134,02
"350440 Avanhandava";83,69;83,69
"350450 Avaré";152,30;152,30
"350460 Bady Bassitt";124,71;124,71
"350470 Balbinos";216,27;216,27
"350480 Bálsamo";200,95;200,95
"350490 Bananal";66,29;66,29
"350500 Barão de Antonina";120,19;120,19
"350510 Barbosa";112,01;112,01
"350520 Bariri";134,17;134,17
"350530 Barra Bonita";140,12;140,12
"350535 Barra do Chapéu";54,84;54,84
"350540 Barra do Turvo";117,25;117,25
"350550 Barretos";194,92;194,92
"350560 Barrinha";98,18;98,18
"350570 Barueri";130,87;130,87
"350580 Bastos";133,11;133,11
"350590 Batatais";151,22;151,22
"350600 Bauru";155,90;155,90
"350610 Bebedouro";131,77;131,77
"350620 Bento de Abreu";69,16;69,16
"350630 Bernardino de Campos";166,98;166,98
"350635 Bertioga";69,86;69,86
"350640 Bilac";130,28;130,28
"350650 Birigui";117,69;117,69
"350660 Biritiba-Mirim";114,03;114,03
"350670 Boa Esperança do Sul";138,93;138,93
"350680 Bocaina";168,24;168,24
"350690 Bofete";148,29;148,29
"350700 Boituva";104,26;104,26
"350710 Bom Jesus dos Perdões";68,38;68,38
"350715 Bom Sucesso de Itararé";79,01;79,01
"350720 Borá";0,00;0,00
"350730 Boracéia";193,05;193,05
"350740 Borborema";191,00;191,00
"350745 Borebi";198,10;198,10
"350750 Botucatu";164,51;164,51
"350760 Bragança Paulista";149,22;149,22
"350770 Braúna";55,03;55,03
"350775 Brejo Alegre";183,02;183,02
"350780 Brodowski";106,70;106,70
"350790 Brotas";157,96;157,96
"350800 Buri";77,21;77,21
"350810 Buritama";122,12;122,12
"350820 Buritizal";117,40;117,40
"350830 Cabrália Paulista";92,74;92,74
"350840 Cabreúva";94,06;94,06
"350850 Caçapava";118,81;118,81
"350860 Cachoeira Paulista";106,83;106,83
"350870 Caconde";122,43;122,43
"350880 Cafelândia";140,18;140,18
"350890 Caiabu";0,00;0,00
"350900 Caieiras";94,11;94,11
"350910 Caiuá";91,09;91,09
"350920 Cajamar";100,12;100,12
"350925 Cajati";163,22;163,22
"350930 Cajobi";149,31;149,31
"350940 Cajuru";91,25;91,25
"350945 Campina do Monte Alegre";69,41;69,41
"350950 Campinas";128,48;128,48
"350960 Campo Limpo Paulista";123,27;123,27
"350970 Campos do Jordão";110,74;110,74
"350980 Campos Novos Paulista";147,06;147,06
"350990 Cananéia";146,47;146,47
"350995 Canas";60,86;60,86
"351000 Cândido Mota";116,68;116,68
"351010 Cândido Rodrigues";112,19;112,19
"351015 Canitar";61,70;61,70
